2026-2027学年第1学期工作安排表,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
新课程序号,课程名称,周学时,负责人,授课教师,教师工号,教师职称,课程性质,授课语言,校区,听课专业,选课人数,起始周,结束周,排课信息
职业技术教育学院,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CDH350801,运筹学,4,,郭为安,14015,,专业选修课,中文,嘉定校区,2024(机械电子工程 51014),0,1,16,郭为安(14015) 星期二1-2节 [1-16] 诚楼C401 郭为安(14015) 星期三7-8节 [1-16] 诚楼C401
CDH341101,自动控制原理（建智）,4,,"靳文瑞,郭为安","09062,14015",",",专业必修课,中文,嘉定校区,2024(建筑电气与智能化 51034),0,1,16,郭为安(14015) 星期二3-4节 [9-16] 诚楼C413 靳文瑞(09062) 星期二3-4节 [1-8] 诚楼C413 郭为安(14015) 星期四3-4节 [9-16] 诚楼C413 靳文瑞(09062) 星期四3-4节 [1-8] 诚楼C413
CDH352701,汽车服务,2,,Ulrich Grau,1400488,null,专业必修课,德语,嘉定校区,2024(汽车服务工程 51024),0,11,12,Ulrich Grau(1400488) 星期一5-8节 [11-12] 安楼A202 Ulrich Grau(1400488) 星期三3-8节 [11-12] 安楼A202 Ulrich Grau(1400488) 星期五3-8节 [11-12] 安楼A202
CDH340501,车辆工程基础,3,,孟庆雨,89518,,专业必修课,中文,嘉定校区,2024(汽车服务工程 51024),0,1,16,孟庆雨(89518) 星期一3-4节 [1-16] 诚楼C402 孟庆雨(89518) 星期二1-2节 [2-16双] 诚楼C402
CDH351201,自动控制原理(2),3,,Patricia Stange,2500515,,专业选修课,德语,嘉定校区,2024(机械电子工程 51014),0,1,3,Patricia Stange(2500515) 星期一7-10节 [1-3] 广楼G305 Patricia Stange(2500515) 星期三5-8节 [1-3] 广楼G305 Patricia Stange(2500515) 星期四7-10节 [1-3] 广楼G305 Patricia Stange(2500515) 星期五5-8节 [1-3] 广楼G305
CDH330201,机械设计基础,4,,谢春,01053,,专业基础课,中文,嘉定校区,2024(机械电子工程 51014),0,1,16,谢春(01053) 星期一3-4节 [1-16] 广楼G307 谢春(01053) 星期三3-4节 [1-16] 广楼G307
CDH350101,产品设计方法学,2,,王玉,05022,,专业选修课,中文,嘉定校区,2024(机械电子工程 51014),0,1,16,王玉(05022) 星期三3-4节 [1-16] 不排教室
CDH450901,电子商务,4,,刘义理,99020,,专业选修课,英语,嘉定校区,"2023(物流管理(中德班) 01904),2023(机械电子工程 51014)",0,1,16,刘义理(99020) 星期三5-6节 [1-16] 广楼G207 刘义理(99020) 星期五3-4节 [1-16] 广楼G207
CDH451801,有限元方法,5,,王玉,05022,,专业选修课,中文,嘉定校区,2023(机械电子工程 51014),0,1,16,王玉(05022) 星期一5-6节 [1-16] 不排教室 王玉(05022) 星期三5-7节 [1-16] 不排教室
CDH353901,燃气技术,2,,Hans Messerschmid,1801056,null,专业必修课,德语,嘉定校区,2024(建筑电气与智能化 51034),0,5,6,Hans Messerschmid(1801056) 星期一5-8节 [5-6] 诚楼C409 Hans Messerschmid(1801056) 星期四5-8节 [5-6] 诚楼C409 Hans Messerschmid(1801056) 星期五5-8节 [5-6] 诚楼C409 Hans Messerschmid(1801056) 星期六3-6节 [5-6] 诚楼C409
CDH354001,消防,2,,Matthias Thuro,2500511,null,专业必修课,德语,嘉定校区,2024(建筑电气与智能化 51034),0,9,10,Matthias Thuro(2500511) 星期一5-8节 [9-10] 诚楼C409 Matthias Thuro(2500511) 星期四5-8节 [9-10] 诚楼C409 Matthias Thuro(2500511) 星期五5-8节 [9-10] 诚楼C409 Matthias Thuro(2500511) 星期六3-6节 [9-10] 诚楼C409
CDH340601,车身,2,,陈君毅,10029,,专业必修课,中文,嘉定校区,2024(汽车服务工程 51024),0,1,16,陈君毅(10029) 星期二3-4节 [1-16] 诚楼C402
CDH450101,精益管理,4,,尤筱玥,19069,,专业选修课,英语,嘉定校区,"2023(物流管理(中德班) 01904),2023(机械电子工程 51014),2023(汽车服务工程 51024)",0,1,16,尤筱玥(19069) 星期一7-8节 [1-16] 广楼G207 尤筱玥(19069) 星期三7-8节 [1-16] 广楼G207
CDH450201,制造系统控制设计与实践,3,,谢楠,09060,,专业选修课,英语,嘉定校区,2023(机械电子工程 51014),0,1,16,谢楠(09060) 星期二3-4节 [1-16] 济事楼242 谢楠(09060) 星期五1-2节 [2-16双] 济事楼242
CDH450202,制造系统控制设计与实践,3,,刘晋飞,14165,,专业选修课,英语,嘉定校区,2023(汽车服务工程 51024),0,1,16,刘晋飞(14165) 星期二3-4节 [1-16] 安楼A302 刘晋飞(14165) 星期五1-2节 [1-15单] 安楼A302
CDH354101,制冷技术,2,,范蕊,06096,,专业必修课,中文,嘉定校区,2024(建筑电气与智能化 51034),0,1,16,范蕊(06096) 星期五3-4节 [1-16] 诚楼C411
